CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	"Mode index = 3  []"	"Mode index = 4  []"	"Mode index = 5  []"	"Mode index = 6  []"	"Mode index = 7  []"	"Mode index = 8  []"	"Mode index = 9  []"	"Mode index = 10  []"	
8.55000000E+08	1.42512945E-01	1.36012997E-05	2.62164081E-08	3.61674952E-02	1.80505456E-06	8.92483626E-06	2.16319367E-03	1.85143309E-04	NaN	1.92387011E-07	
8.60000000E+08	1.36437195E-01	1.39640433E-05	2.77208794E-08	3.78510439E-02	1.95949211E-06	1.07496018E-05	2.29607510E-03	1.84105464E-04	NaN	2.05239491E-07	
8.65000000E+08	1.30897452E-01	1.43119689E-05	3.04822449E-08	3.95912386E-02	2.15186051E-06	1.26496168E-05	2.43341293E-03	1.82603111E-04	NaN	2.18105148E-07	
8.70000000E+08	1.25863222E-01	1.46854600E-05	3.28589246E-08	4.13903702E-02	2.34307047E-06	1.46253409E-05	2.57542613E-03	1.80721946E-04	NaN	2.30918147E-07	
8.75000000E+08	1.21292924E-01	1.50906986E-05	3.48617637E-08	4.32510053E-02	2.56426880E-06	1.66750943E-05	2.72232779E-03	1.78576231E-04	NaN	2.42772947E-07	
8.80000000E+08	1.17141812E-01	1.54367876E-05	4.06062560E-08	4.51758276E-02	2.78442365E-06	1.87983539E-05	2.87434721E-03	1.76274984E-04	NaN	2.57707613E-07	
8.85000000E+08	1.13365687E-01	1.58502133E-05	4.38185025E-08	4.71676974E-02	3.02885006E-06	2.09956971E-05	3.03170306E-03	1.73904937E-04	NaN	2.72134722E-07	
8.90000000E+08	1.09923937E-01	1.62666432E-05	4.55860734E-08	4.92293876E-02	3.29840318E-06	2.32663494E-05	3.19463114E-03	1.71518347E-04	NaN	2.85915941E-07	
8.95000000E+08	1.06778745E-01	1.67053693E-05	4.83387638E-08	5.13640722E-02	3.57904549E-06	2.56120525E-05	3.36337473E-03	1.69200531E-04	NaN	3.03997896E-07	
9.00000000E+08	1.03897056E-01	1.71284981E-05	5.33271874E-08	5.35747739E-02	3.89377619E-06	2.80328444E-05	3.53818278E-03	1.66977460E-04	NaN	3.20749487E-07	
9.05000000E+08	1.01249119E-01	1.76064590E-05	5.76983149E-08	5.58646219E-02	4.22777032E-06	3.05293580E-05	3.71930940E-03	1.64891212E-04	NaN	3.40235412E-07	
9.10000000E+08	9.88090113E-02	1.80813823E-05	5.91631414E-08	5.82367475E-02	4.59404802E-06	3.31029566E-05	3.90700922E-03	1.62982470E-04	NaN	3.60350291E-07	
9.15000000E+08	9.65540541E-02	1.85638553E-05	6.63472846E-08	6.06940739E-02	4.99611655E-06	3.57557845E-05	4.10157006E-03	1.61247569E-04	NaN	3.84239679E-07	
9.20000000E+08	9.44642122E-02	1.90685273E-05	6.90385560E-08	6.32392927E-02	5.43295378E-06	3.84883117E-05	4.30326522E-03	1.59705540E-04	NaN	4.08036183E-07	
9.25000000E+08	9.25220453E-02	1.95926408E-05	7.46567876E-08	6.58748082E-02	5.89181045E-06	4.13013393E-05	4.51238608E-03	1.58368057E-04	NaN	4.34773518E-07	
9.30000000E+08	9.07124376E-02	2.01313120E-05	7.82569464E-08	6.86024445E-02	6.40865898E-06	4.41976872E-05	4.72923829E-03	1.57228808E-04	NaN	4.57329734E-07	
