CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  [deg]"	"Mode index = 2  [deg]"	
2.56000000E+09	1.02575644E+02	1.29398276E+02	
2.56500000E+09	1.02451406E+02	1.28770814E+02	
2.57000000E+09	1.02332463E+02	1.28172724E+02	
2.57500000E+09	1.02218611E+02	1.27602558E+02	
2.58000000E+09	1.02109563E+02	1.27058357E+02	
2.58500000E+09	1.02005151E+02	1.26538728E+02	
2.59000000E+09	1.01905059E+02	1.26042107E+02	
2.59500000E+09	1.01809157E+02	1.25567174E+02	
2.60000000E+09	1.01717198E+02	1.25112772E+02	
2.60500000E+09	1.01629015E+02	1.24677628E+02	
2.61000000E+09	1.01544419E+02	1.24260576E+02	
2.61500000E+09	1.01463252E+02	1.23860813E+02	
2.62000000E+09	1.01385318E+02	1.23477206E+02	
2.62500000E+09	1.01310525E+02	1.23108978E+02	
2.63000000E+09	1.01238708E+02	1.22755387E+02	
2.63500000E+09	1.01169678E+02	1.22415423E+02	
2.64000000E+09	1.01103391E+02	1.22088547E+02	
2.64500000E+09	1.01039660E+02	1.21774097E+02	
2.65000000E+09	1.00978410E+02	1.21471365E+02	
2.65500000E+09	1.00919514E+02	1.21179844E+02	
2.66000000E+09	1.00862874E+02	1.20898930E+02	
2.66500000E+09	1.00808400E+02	1.20628140E+02	
2.67000000E+09	1.00755968E+02	1.20366930E+02	
2.67500000E+09	1.00705524E+02	1.20114918E+02	
2.68000000E+09	1.00656953E+02	1.19871642E+02	
2.68500000E+09	1.00610201E+02	1.19636677E+02	
2.69000000E+09	1.00565192E+02	1.19409737E+02	
2.69500000E+09	1.00521852E+02	1.19190305E+02	
2.70000000E+09	1.00480092E+02	1.18978196E+02	
