Far field
"Frequency"[Hz]	"LHC [dBi]"	"RHC [dBi]"	
2.55000000E+09	5.58984021E+00	-3.41179825E+00	
2.55500000E+09	5.51102524E+00	-3.46202759E+00	
2.56000000E+09	5.43205743E+00	-3.51732536E+00	
2.56500000E+09	5.35286408E+00	-3.57781749E+00	
2.57000000E+09	5.27337818E+00	-3.64342949E+00	
2.57500000E+09	5.19356990E+00	-3.71437697E+00	
2.58000000E+09	5.11326904E+00	-3.79079805E+00	
2.58500000E+09	5.03241579E+00	-3.87285188E+00	
2.59000000E+09	4.95093538E+00	-3.96050124E+00	
2.59500000E+09	4.86867815E+00	-4.05415996E+00	
2.60000000E+09	4.78556978E+00	-4.15396318E+00	
2.60500000E+09	4.70138955E+00	-4.26013687E+00	
2.61000000E+09	4.61607833E+00	-4.37295302E+00	
2.61500000E+09	4.52944391E+00	-4.49282643E+00	
2.62000000E+09	4.44135576E+00	-4.61981057E+00	
2.62500000E+09	4.35161040E+00	-4.75448409E+00	
2.63000000E+09	4.26003420E+00	-4.89732566E+00	
2.63500000E+09	4.16645014E+00	-5.04854641E+00	
2.64000000E+09	4.07059780E+00	-5.20887141E+00	
2.64500000E+09	3.97238919E+00	-5.37839771E+00	
2.65000000E+09	3.87143217E+00	-5.55810157E+00	
2.65500000E+09	3.76763636E+00	-5.74847783E+00	
2.66000000E+09	3.66067476E+00	-5.95010939E+00	
2.66500000E+09	3.55027795E+00	-6.16379266E+00	
2.67000000E+09	3.43632015E+00	-6.39020964E+00	
2.67500000E+09	3.31845296E+00	-6.63040777E+00	
2.68000000E+09	3.19641885E+00	-6.88499400E+00	
2.68500000E+09	3.06987323E+00	-7.15536922E+00	
2.69000000E+09	2.93863722E+00	-7.44234734E+00	
2.69500000E+09	2.80239031E+00	-7.74718907E+00	
2.70000000E+09	2.66084703E+00	-8.07123258E+00	
